;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words;diacritic_count;ratio_vowels_consonants;mean_vowel_per_word;phrase
0;15;6;0;0;12;21;0;0;3;21;0;0;9;6;18;0;12;6;6;12;3;15;15;3;9;3;3;0;0;0;0;0;0;1;0;3;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;118;45;54;36;36;16.384615384615383;15;0.8389830508474576;0.43612334801762115;AAAnnntttoooiiinnneee dddeee SSSaaaiiinnntttEEExxxuuupppééérrryyy VVVOOOLLL DDDEEE NNNUUUIIITTT  ééédddiiitttééé pppaaarrr lllaaa bbbiiibbbllliiiooottthhhèèèqqquuueee nnnuuummmééérrriiiqqquuueee rrrooommmaaannndddeee wwwwwwwww
1;0;6;0;0;0;3;0;0;0;0;0;3;0;0;3;0;6;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;19;5;14;0;27;27.0;0;0.47368421052631576;0.32142857142857145;eeebbbooooookkksssbbbnnnrrr
2;2;1;3;0;1;3;0;0;0;2;0;0;1;4;0;0;3;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;15;1;2;2;9;5.2;1;0.7333333333333333;0.34375;cccooommm Table des matières I 
3;8;3;2;0;8;14;0;3;0;13;1;1;9;3;7;0;11;1;0;12;14;6;9;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;73;2;1;11;12;4.212121212121212;4;0.8082191780821918;0.3390804597701149;Numérisation : Groupe des Ebooks Libres et Gratuits,  À Monsieur Didier Daurat –  –I Les collines , sous l ’avion , creusaient déjà leur sill age d’ ombre dans l ’or du soir
4;9;1;1;0;8;32;2;1;1;12;0;0;12;5;18;0;1;5;1;10;17;3;8;2;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65;92;1;2;1;10;4.324324324324325;3;0.7065217391304348;0.3299492385786802;Les plaines devenaient lumineuses mais d’une inusable lumière : dans ce pays elles n ’en finissent pas de rendre leur or de même qu ’après l ’hiver , elles n ’en finissent pas de rendre leur neige
5;15;2;6;0;8;34;1;4;1;16;0;0;10;5;13;0;8;6;4;14;18;9;12;1;0;3;0;0;0;1;0;1;0;2;0;1;0;3;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;92;110;2;2;6;13;4.224489795918367;7;0.8363636363636363;0.35797665369649806;Et le pilote Fabien , qui ramenait de l ’extrême Sud , vers Buenos Aires, le courrier de Patagonie , reconnaissait l’approche du soir aux mêmes signes que les eaux d ’un port : à ce calme , à ces rides légères qu ’à peine dessinaient de tranquilles nuages 
6;3;1;0;0;2;10;0;0;1;4;0;0;1;2;5;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;21;0;1;1;12;5.125;0;0.9523809523809523;0.4;Il entrait dans une rade immense et bienheureuse 
7;5;1;4;0;2;15;1;1;0;4;0;0;3;4;5;0;3;3;1;7;4;2;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;39;0;0;1;10;4.111111111111111;1;0.8461538461538461;0.3548387096774194;Il eût pu croire aussi , dans ce calme , faire une lente promenade, presque comme un berger 
8;9;2;0;0;4;20;0;3;0;8;0;0;12;0;5;0;3;4;0;9;10;10;6;3;0;0;0;0;0;0;0;0;0;1;0;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;66;1;0;2;9;4.103448275862069;3;0.7424242424242424;0.3288590604026846;Les bergers de Patagonie vont, sans se presser, d’un troupeau à l’ autre : il allait d ’une ville à l’autre , il était le berger des petites villes 
9;5;3;1;0;3;16;1;0;1;8;0;0;5;0;7;0;6;1;2;7;5;7;10;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;46;2;1;1;11;4.6;0;0.9782608695652174;0.39823008849557523;Toutes les deux heures , il en rencontrait qui venaient boire au bord des fleuves ou qui broutaient leur plaine 
10;16;2;4;0;6;33;2;1;4;18;0;1;11;6;8;0;6;7;4;16;18;9;11;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;102;1;1;1;11;4.333333333333333;4;0.8627450980392157;0.3651452282157676;Quelquefois , après cent kilomètres de steppes plus inhabitées que la mer , il croisait une ferme perdue , et qui semblait emporter en arrière , dans une houle de prairies , sa charge de vies humaines , alors il saluait des ailes ce navire 
11;4;0;0;0;2;5;0;0;0;4;1;0;1;1;7;0;2;0;0;3;6;4;4;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;28;0;0;2;11;4.0;0;0.6785714285714286;0.3114754098360656;« San Julian est en vue | nous atterrirons dans dix minutes 
12;7;0;0;0;2;7;0;2;0;4;0;0;7;0;4;0;4;2;0;1;6;4;2;2;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;33;0;0;1;8;4.0;1;0.7575757575757576;0.35714285714285715;» Le radio navigant passait la nouvelle à tous les postes de la ligne
13;12;4;7;0;8;29;2;2;1;14;0;1;15;9;11;0;9;0;2;14;20;9;11;1;0;1;1;0;0;1;0;0;0;0;0;3;0;1;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;112;1;4;5;14;4.545454545454546;7;0.7321428571428571;0.3333333333333333;–  –Sur deux mille cinq cents kilomètres , du détroit de Magellan à Buenos Aires , des escales semblables s ’échelonnaient | mais celle ci s’ouvrait sur les frontières de la nuit comme , en Afrique, sur le mystère , la dernière bourgade soumise 
14;9;0;2;0;3;11;0;2;1;5;0;0;5;2;3;0;4;5;1;6;9;5;5;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;48;0;1;2;11;4.0;2;0.75;0.33962264150943394;Le radio passa un papier au pilote : « Il y a tant d ’orages que les décharges remplissent mes écouteurs 
